Product Name,Product Type,Price,Rating,Reviews
Ginger | Matte Lip Kit,Lip Kits,$29.00,4.8 star rating,247 Reviews
Kristen | Matte Lip Kit,Lip Kits,$29.00,4.8 star rating,225 Reviews
Maliboo | Matte Lip Kit,Lip Kits,$29.00,4.6 star rating,284 Reviews
Posie K | Matte Liquid Lipstick,Lip Kits,$17.00,4.8 star rating,187 Reviews
Koko K | Matte Liquid Lipstick,Lip Kits,$17.00,4.6 star rating,141 Reviews
Posie K | Gloss,Lip Kits,$15.00,4.7 star rating,85 Reviews
Candy K | Gloss,Lip Kits,$15.00,4.7 star rating,97 Reviews
Koko K | Gloss,Lip Kits,$15.00,4.6 star rating,219 Reviews
Mary Jo K | Matte Lip Kit,Lip Kits,$29.00,4.8 star rating,436 Reviews
Dolce K | Matte Liquid Lipstick,Lip Kits,$17.00,4.8 star rating,153 Reviews
True Brown K | Matte Liquid Lipstick,Lip Kits,$17.00,4.4 star rating,72 Reviews
Candy K | Matte Liquid Lipstick,Lip Kits,$17.00,4.5 star rating,225 Reviews
Mary Jo K | Matte Liquid Lipstick,Lip Kits,$17.00,4.8 star rating,346 Reviews
Exposed | Matte Lip Kit,Lip Kits,$29.00,4.6 star rating,226 Reviews
So Cute | Gloss,Lip Kits,$15.00,4.6 star rating,167 Reviews
Literally | Gloss,Lip Kits,$15.00,4.7 star rating,123 Reviews
Like | Gloss,Lip Kits,$15.00,4.8 star rating,103 Reviews
22 | Matte Lip Kit,Lip Kits,$29.00,4.7 star rating,111 Reviews
Koko K | Matte Lip Kit,Lip Kits,$29.00,4.7 star rating,316 Reviews
Posie K | Matte Lip Kit,Lip Kits,$29.00,4.7 star rating,335 Reviews
True Brown K | Matte Lip Kit,Lip Kits,$29.00,4.8 star rating,100 Reviews
Candy K | Matte Lip Kit,Lip Kits,$29.00,4.6 star rating,474 Reviews
Dolce K | Matte Lip Kit,Lip Kits,$29.00,4.6 star rating,234 Reviews
